1, 2, 1, 2, 1,13, 1
2, 2, 1, 7, 1,13, 1
3, 2, 1, 3, 3,12,-2
4, 2, 1, 2, 3, 8,-2
5, 2, 2,13, 2, 5, 2
6, 2, 1, 2, 1,13,-8
7, 2, 1, 1, 1, 8,-2
8, 2, 1, 1, 1,12,-2
9, 2, 1,11, 4, 2, 4
10, 1, 2, 9, 5, 7, 6
11, 1, 2,27, 4,-2, 4
12, 1, 2,27, 5, 7, 5
13, 1, 1,24, 3,10, 3
14, 1, 1,15, 3, 9, 4
15, 1, 1,25, 4, 9, 6
16, 1, 1, 1, 5,10, 6
17, 1, 1,26, 5, 8, 6
18, 1, 2, 7, 2,10,-2
19, 1, 1, 1, 1, 4,-2
20, 4, 1, 7, 1, 7, 3
21, 1, 2, 9, 3, 3, 6
22, 1, 1, 1, 2, 4,-2
23, 1, 1,11, 2, 3, 3
24, 1, 1, 2, 1,13,-2
25, 1, 1,13, 1,13, 5
26, 1, 1,-9, 3, 8, 4
27, 1, 1, 9, 3, 8, 6
28, 1, 1,21, 3,13, 5
29, 1, 2,14, 1, 9,-2
30, 1, 1, 3, 3, 8, 5
31, 2, 1,23, 4, 8, 5
32, 4, 2,18, 3, 5, 4
33, 2, 1, 9, 3,12,-2
34, 3, 1,11, 2,-2,-2
35, 3,-9,15, 2, 8,-2
36, 3, 2, 4, 3, 7, 1
37, 3, 1,13, 3, 4,-2
38, 3, 1, 4, 1, 1,-2
39, 3, 2,11, 3, 5,-2
40, 3, 1, 1, 3, 2, 3
41, 4, 2,26, 4, 6, 5
42, 1, 1,-9, 4, 8, 3
43, 3, 1,23, 4, 4, 4
44, 1, 1, 8, 4,10, 6
45, 1, 2,22, 2, 4, 6
46, 4, 1,11, 4, 7, 7
47, 1, 1,26, 4, 4, 5
48, 1, 2,25, 4,10, 6
49, 1, 2,17, 3, 4, 5
50, 4, 1,19, 3,10, 6
51, 3, 1,13, 3, 6, 5
52, 1, 1,-9, 3, 6, 6
53, 3, 2,23, 3, 4, 1
54, 1, 2,18, 3, 4,-2
55, 4, 1,-9, 2, 7, 4
56, 3, 1,17, 1, 4, 2
57, 3, 2,11, 2, 8, 5
58, 3, 1,15, 3, 8,-2
59, 1, 2,17, 4,11, 4
60, 1, 2,15, 5,13, 2
61, 1, 2,22, 1, 5, 7
62, 4, 2,19, 1,12, 1
63, 1, 2,11, 1, 7, 1
64, 1, 1,18, 4, 7, 6
65, 1, 2,15, 3, 2, 4
66, 4, 2, 9, 2, 1,-2
67, 1, 2,-9,-2,13, 2
68, 3, 1,18, 3, 2, 3
69, 3, 1, 7, 2, 1,-8
70, 4, 1,12, 3, 9, 6
